,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_window_size,state
0,0,99.05665888086033,2024-10-18 22:00:43.787316,2024-10-18 22:28:55.215088,0 days 00:28:11.427772,71,2.286508946569413e-05,16,COMPLETE
1,1,57.21091876770274,2024-10-18 22:00:43.788960,2024-10-18 22:30:23.602415,0 days 00:29:39.813455,82,0.0003366622702269588,19,COMPLETE
2,2,86.48301751663686,2024-10-18 22:00:43.789958,2024-10-18 22:21:15.895472,0 days 00:20:32.105514,44,4.4217358348332494e-05,3,COMPLETE
3,3,91.23754206244395,2024-10-18 22:00:43.791442,2024-10-18 22:33:27.317613,0 days 00:32:43.526171,23,1.023013885689326e-05,18,COMPLETE
4,4,104.02039640794985,2024-10-18 22:00:43.793053,2024-10-18 22:27:08.109014,0 days 00:26:24.315961,19,0.0002731466354743067,10,COMPLETE
5,5,87.55506651979154,2024-10-18 22:00:43.794780,2024-10-18 22:26:43.083234,0 days 00:25:59.288454,59,4.201978780401336e-05,11,COMPLETE
6,6,79.45897586340301,2024-10-18 22:21:15.897447,2024-10-18 22:47:02.723997,0 days 00:25:46.826550,24,2.6835695175311403e-05,9,COMPLETE
7,7,80.77804511819507,2024-10-18 22:26:43.084481,2024-10-18 22:47:15.935105,0 days 00:20:32.850624,54,0.0008333503455762096,3,COMPLETE
8,8,369.7562791012598,2024-10-18 22:27:08.110343,2024-10-18 22:52:48.238939,0 days 00:25:40.128596,28,0.00036452119742487075,10,COMPLETE
9,9,63.67371180543573,2024-10-18 22:28:55.216530,2024-10-18 22:54:40.539089,0 days 00:25:45.322559,49,7.892330983139515e-05,13,COMPLETE
10,10,639.3349390679599,2024-10-18 22:30:23.603658,2024-10-18 22:49:40.162001,0 days 00:19:16.558343,89,3.404966779208075e-05,3,COMPLETE
11,11,68.08295235731798,2024-10-18 22:33:27.318856,2024-10-18 22:55:22.902755,0 days 00:21:55.583899,102,0.0005161713138365069,9,COMPLETE
12,12,105.42175098582113,2024-10-18 22:47:02.725411,2024-10-18 23:20:07.640812,0 days 00:33:04.915401,89,4.5272480760295746e-05,20,COMPLETE
13,13,111.10153114314967,2024-10-18 22:47:15.936502,2024-10-18 23:12:17.194967,0 days 00:25:01.258465,53,3.106325140684725e-05,9,COMPLETE
14,14,95.48432761840317,2024-10-18 22:49:40.163208,2024-10-18 23:12:57.019335,0 days 00:23:16.856127,117,5.84151914913213e-05,7,COMPLETE
15,15,71.75285468629757,2024-10-18 22:52:48.240178,2024-10-18 23:22:25.476786,0 days 00:29:37.236608,128,0.0001316599230784833,20,COMPLETE
16,16,76.04534378204566,2024-10-18 22:54:40.540480,2024-10-18 23:23:52.646043,0 days 00:29:12.105563,128,0.00012040623786724626,20,COMPLETE
17,17,80.86395490011172,2024-10-18 22:55:22.904015,2024-10-18 23:23:36.184712,0 days 00:28:13.280697,123,0.00013522158292109164,20,COMPLETE
18,18,76.93790338106272,2024-10-18 23:12:17.196274,2024-10-18 23:28:39.420064,0 days 00:16:22.223790,114,0.00013696441354524197,20,COMPLETE
19,19,64.5453924930503,2024-10-18 23:12:57.020559,2024-10-18 23:28:12.233444,0 days 00:15:15.212885,88,0.00014612448005304929,15,COMPLETE
